UNB+XXIB:1+CEC/XXI/B5+               GB+16092018:2000+TARIC'
UNH+TGBGB18116+8116'
001605172643000+00000161103639823490   10110702000000           200620181R1708920200620181R170892000000040000030256                '
001605200743000+00002641303642632552   10118541409061B806       010720184R17157000000000000000000000000040000103319   12255        '
001605200843000+00002652303640008552   10118541409061B807       010720184R17157000000000000000000000000040000103319   12256        '
001605200943000+00002663303640040552   10118541409061B809       010720184R17157000000000000000000000000040000103319   12258        '
001605201043000+00002674303640072552   10118541409061B811       010720184R17157000000000000000000000000040000103319   12260        '
001605201143000+00002685303640104552   10118541409061B812       010720184R17157000000000000000000000000040000103319   12261        '
001605201243000+00002696303640136552   10118541409061B813       010720184R17157000000000000000000000000040000103319   12262        '
001605201343000+00002707303640168552   10118541409061B814       010720184R17157000000000000000000000000040000103319   12263        '
001605201443000+00002718303640200552   10118541409061B816       010720184R17157000000000000000000000000040000103319   12265        '
001605201543000+00002729303640232552   10118541409061B817       010720184R17157000000000000000000000000040000103319   12421        '
001605201643000+00002740303642970552   10118541409061B818       010720184R17157000000000000000000000000040000103319   12267        '
001605201743000+00002751303640264552   10118541409061B820       010720184R17157000000000000000000000000040000103319   12269        '
001605201843000+00002762303642664552   10118541409061B821       010720184R17157000000000000000000000000040000103319   12428        '
001605201943000+00002773303640296552   10118541409061B822       010720184R17157000000000000000000000000040000103319   12271        '
001605202043000+00002784303640328552   10118541409061B824       010720184R17157000000000000000000000000040000103319   12423        '
001605202143000+00002795303640360552   10118541409061B826       010720184R17157000000000000000000000000040000103319   12275        '
001605202243000+00002806303640392552   10118541409061B827       010720184R17157000000000000000000000000040000103319   12276        '
001605202343000+00002817303640424552   10118541409061B828       010720184R17157000000000000000000000000040000103319   12277        '
001605202443000+00002828303640456552   10118541409061B829       010720184R17157000000000000000000000000040000103319   12278        '
001605202543000+00002839303640488552   10118541409061B830       010720184R17157000000000000000000000000040000103319   12422        '
001605202643000+00002850303640520552   10118541409061B831       010720184R17157000000000000000000000000040000103319   12280        '
001605202743000+00002861303640552552   10118541409061B832       010720184R17157000000000000000000000000040000103319   12281        '
001605202843000+00002872303640584552   10118541409061B833       010720184R17157000000000000000000000000040000103319   12282        '
001605202943000+00002883303640616552   10118541409061B834       010720184R17157000000000000000000000000040000103319   12283        '
001605203043000+00002894303640648552   10118541409061B835       010720184R17157000000000000000000000000040000103319   12284        '
001605203143000+00002905303640680552   10118541409061B837       010720184R17157000000000000000000000000040000103319   12286        '
001605203243000+00002916303640712552   10118541409061B838       010720184R17157000000000000000000000000040000103319   12287        '
001605203343000+00002927303640744552   10118541409061B839       010720184R17157000000000000000000000000040000103319   12288        '
001605203443000+00002938303640776552   10118541409061B840       010720184R17157000000000000000000000000040000103319   12289        '
001605203543000+00002949303640808552   10118541409061B841       010720184R17157000000000000000000000000040000103319   12290        '
001605203643000+00002960303640840552   10118541409061B842       010720184R17157000000000000000000000000040000103319   12424        '
001605203743000+00002971303642696552   10118541409061B843       010720184R17157000000000000000000000000040000103319   12292        '
001605203843000+00002982303639749552   10118541409061B845       010720184R17157000000000000000000000000040000103319   12294        '
001605203943000+00002993303640872552   10118541409061B846       010720184R17157000000000000000000000000040000103319   12295        '
001605204043000+00003004303640904552   10118541409061B847       010720184R17157000000000000000000000000040000103319   12296        '
001605204143000+00003015303642728552   10118541409061B848       010720184R17157000000000000000000000000040000103319   12297        '
001605204243000+00003026303640936552   10118541409061B849       010720184R17157000000000000000000000000040000103319   12298        '
001605204343000+00003037303640968552   10118541409061B850       010720184R17157000000000000000000000000040000103319   12299        '
001605204443000+00003048303641000552   10118541409061B851       010720184R17157000000000000000000000000040000103319   12300        '
001605204543000+00003059303641032552   10118541409061B852       010720184R17157000000000000000000000000040000103319   12301        '
001605204643000+00003070303641064552   10118541409061B853       010720184R17157000000000000000000000000040000103319   12302        '
001605204743000+00003081303641096552   10118541409061B854       010720184R17157000000000000000000000000040000103319   12303        '
